,Ticker,Sample Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
11,ADM,3,54804,116159,-0.616902283464567,-0.9117422834645668,0.47180158231389735,-0.9157868503937002,-0.9157868503937004,4.0024161867769585,4.510197380343882,4.4467731496063,5.5177731496063,0.11159761922821418,0.0013451400525358813,-1.5000000000000002,-1.5,[-5.36256    -0.91578685  4.42764   ],[-6.43356    -0.91578685  4.61412   ],[-5.36256    -0.91578685  4.42764   ],[-6.43356    -0.91578685  4.61412   ],-24.6784051584,-31.504657867199995
12,SOV,3,26657,83378,-3.4535822834645664,-3.307422283464567,0.3197126340281609,-2.1848400000000003,-2.07144,2.7410364237743488,2.6081399851925195,1.2690531496063002,1.1556531496062994,-0.5951353437511466,-0.6044161315981093,-1.5,-1.5,[-7.26012    -2.18484    -0.91578685],[-6.93504    -2.07144    -0.91578685],[-7.26012    -2.18484    -0.91578685],[-6.93504    -2.07144    -0.91578685],-7.26012,-6.935039999999999
13,FISV,3,22116,105516,-0.9235022834645669,-1.2712622834645668,0.20959854429659958,-0.9157868503937002,-0.9157868503937004,0.7572059233482895,1.1572349222860758,0.9157868503937002,0.8502668503937004,-0.015282960964562439,-0.431780436516182,-1.4999999999999998,-1.5000000000000002,[-1.85472    -0.91578685  0.        ],[-2.83248    -0.91578685 -0.06552   ],[-1.85472    -0.91578685  0.        ],[-2.83248    -0.91578685 -0.06552   ],-1.85472,-2.83248
14,UIS,3,21726,51177,1.1067777165354333,0.6548577165354333,0.4245266428278328,-0.30239999999999995,-0.4536,2.4394947813222756,1.9037849940085154,0.6133868503937003,0.46218685039370044,0.6737257511711292,0.6759781279250682,-1.4999999999999998,-1.5000000000000004,[-0.91578685 -0.3024      4.53852   ],[-0.91578685 -0.4536      3.33396   ],[-0.91578685 -0.3024      4.53852   ],[-0.91578685 -0.4536      3.33396   ],-0.3024,-0.4536
15,DELL,3,112563,238037,-0.529542283464567,-0.32122228346456677,0.47288026651318915,-0.9157868503937002,-0.9157868503937004,2.9908308699659263,2.716828364568475,3.0683331496063,2.3954931496062994,0.1915605166601919,0.317786458623824,-1.5,-1.5,[-3.98412    -0.91578685  3.31128   ],[-3.31128    -0.91578685  3.2634    ],[-3.98412    -0.91578685  3.31128   ],[-3.31128    -0.91578685  3.2634    ],-13.8653768736,-10.853911152
16,KO,3,84100,201801,0.5288577165354331,0.5700177165354332,0.4167471915401807,-0.68544,-0.63504,1.882506390953011,1.9061758523162902,0.23034685039370018,0.2807468503937004,0.6991747238022247,0.6956200924129601,-1.5,-1.4999999999999996,[-0.91578685 -0.68544     3.1878    ],[-0.91578685 -0.63504     3.26088   ],[-0.91578685 -0.68544     3.1878    ],[-0.91578685 -0.63504     3.26088   ],-0.68544,-0.63504
17,ED,3,32805,101262,-2.3624222834645665,-2.304462283464567,0.32396160455057177,-0.9157868503937002,-0.9157868503937004,2.5542628169607107,2.369385900103079,0.6965468503937002,0.5579468503937004,-0.6678729612791771,-0.6778126192214053,-1.5,-1.5,[-5.95224    -0.91578685 -0.21924   ],[-5.63976    -0.91578685 -0.35784   ],[-5.95224    -0.91578685 -0.21924   ],[-5.63976    -0.91578685 -0.35784   ],-5.95224,-5.63976
18,CELG,3,52081,206280,-2.311182283464567,-2.175102283464567,0.25247721543533064,-0.9157868503937002,-0.9157868503937004,3.8427514683254644,3.779171845786485,2.4555068503937,2.6092268503937004,-0.49680486097627524,-0.4628368386110661,-1.4999999999999998,-1.4999999999999998,[-7.55748    -0.91578685  1.53972   ],[-7.30296    -0.91578685  1.69344   ],[-7.55748    -0.91578685  1.53972   ],[-7.30296    -0.91578685  1.69344   ],-17.6541631056,-17.9766445824
19,FAST,3,15682,89245,1.6048977165354337,1.5906177165354334,0.17571852764860776,2.36628,1.93536,1.828359756004643,1.9212578278205164,0.9979200000000001,1.8169200000000003,-0.5524293897582632,-0.2633762575855708,-1.5,-1.5,[-0.91578685  2.36628     3.3642    ],[-0.91578685  1.93536     3.75228   ],[-0.91578685  2.36628     3.3642    ],[-0.91578685  1.93536     3.75228   ],0.0,0.0
20,DTE,3,21499,91712,-2.664822283464567,-2.7076622834645665,0.23441861479413817,-0.9157868503937002,-0.9157868503937004,3.219209315883125,2.9951395549158395,1.0165868503937001,0.6360668503937004,-0.6545889284977753,-0.6832642171076772,-1.5000000000000002,-1.4999999999999996,[-7.17948    -0.91578685  0.1008    ],[-6.92748    -0.91578685 -0.27972   ],[-7.17948    -0.91578685  0.1008    ],[-6.92748    -0.91578685 -0.27972   ],-7.802371583999999,-6.92748
