,Ticker,Date,Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
97,ADP,20070806,33,303180,884387,0.02972,0.03011,0.34281,0.0,0.0252,1.18227,0.39262,0.2646,0.28728,0.34906,0.25832,12.6288,-0.75669,"[0.2646  0.2646  0.37044 0.5292  0.58212 0.58212 0.68796 0.84672 0.9072
 5.11056]","[0.2646  0.34524 0.44856 0.47628 0.5544  0.55692 0.66276 0.68796 0.79128
 0.819  ]","[-4.7502  -0.74088 -0.5796  -0.5796  -0.5292  -0.47376 -0.42336 -0.42336
 -0.31752 -0.26208]","[-0.71064 -0.58212 -0.5292  -0.42336 -0.42336 -0.39564 -0.39564 -0.34272
 -0.34272 -0.34272]",-0.0,-0.95055
98,ADP,20070807,34,319652,924766,0.08994,0.08581,0.34566,0.05292,0.05292,0.36319,0.35967,0.20916,0.18144,0.83827,0.57657,0.69231,0.53461,"[0.31248 0.31248 0.31248 0.36288 0.4158  0.52416 0.63252 0.89208 0.99288
 1.04328]","[0.25956 0.25956 0.28728 0.441   0.49392 0.52416 0.52668 0.91224 0.91728
 0.96516]","[-0.52668 -0.51912 -0.46872 -0.25956 -0.25956 -0.22932 -0.20916 -0.20916
 -0.20664 -0.15624]","[-0.64764 -0.55188 -0.49392 -0.31248 -0.28728 -0.23436 -0.20916 -0.15624
 -0.15624 -0.10332]",-0.68292,-0.74198
99,ADP,20070808,35,334427,963628,0.0042,0.01008,0.34705,0.05292,0.05292,1.20601,0.48359,0.30996,0.33516,0.027,-0.12252,11.57636,0.22409,"[0.30996 0.30996 0.36288 0.46368 0.46368 0.61992 0.67536 0.77616 1.03572
 4.96944]","[0.33768 0.38808 0.41328 0.4914  0.5418  0.567   0.62244 0.65016 0.69804
 1.24236]","[-4.92408 -1.13148 -0.77364 -0.72324 -0.72072 -0.56952 -0.567   -0.5166
 -0.30996 -0.30996]","[-1.23732 -0.82152 -0.69552 -0.67284 -0.6426  -0.5166  -0.4158  -0.41076
 -0.33516 -0.30996]",-0.92449,-1.00828
100,ADP,20070809,36,349734,1007451,-0.07728,-0.08555,0.34715,-0.10332,-0.05292,0.83957,0.81043,0.49392,0.46872,-0.1,-0.20445,0.71381,0.46983,"[0.3906  0.42084 0.52164 0.52416 0.67788 0.88956 0.89208 1.47672 1.62792
 1.92276]","[0.4158  0.47124 0.47376 0.54936 0.70812 0.7812  0.9954  1.4238  1.53216
 1.62792]","[-2.24784 -1.86732 -1.39356 -1.30284 -0.99036 -0.82908 -0.67284 -0.62748
 -0.62748 -0.62748]","[-2.22264 -1.7892  -1.36836 -1.1718  -0.93744 -0.8568  -0.77616 -0.7056
 -0.6804  -0.6552 ]",-1.3529,-1.36836
101,ADP,20070810,37,364859,1056074,0.05822,0.05731,0.34549,0.0,0.05292,1.01573,1.03191,0.46872,0.52416,-1.67898,-1.85776,5.27881,6.05208,"[0.93492 0.94752 1.05588 1.07604 1.10124 1.1466  1.28016 1.32804 1.4112
 1.49436]","[0.9072  0.95004 1.08108 1.10376 1.1214  1.15416 1.20204 1.30788 1.38096
 1.41372]","[-4.14288 -1.4994  -1.47168 -0.98784 -0.79884 -0.6804  -0.46872 -0.42084
 -0.42084 -0.37044]","[-4.32684 -1.5246  -1.47168 -0.85932 -0.82404 -0.7056  -0.62496 -0.47124
 -0.42336 -0.42084]",-1.01327,-1.09813
102,ADP,20070813,38,375180,1086300,0.02514,0.02746,0.34537,0.05292,0.0252,0.72372,0.72425,0.39312,0.4158,-0.80705,-0.77236,1.91204,2.0138,"[0.46872 0.47124 0.52668 0.63    0.77616 0.78876 0.93744 0.9576  1.197
 1.62288]","[0.47124 0.51912 0.6048  0.65772 0.74844 0.76356 0.8316  0.93744 1.197
 1.701  ]","[-2.32848 -1.67076 -1.18692 -0.63    -0.57204 -0.51912 -0.47124 -0.46872
 -0.3654  -0.31248]","[-2.3562  -1.59516 -1.18692 -0.63    -0.62496 -0.49644 -0.4158  -0.3906
 -0.31248 -0.31248]",-2.32848,-2.3562
103,ADP,20070814,39,384572,1118731,-0.0999,-0.0997,0.34376,-0.05292,-0.0252,0.48961,0.50255,0.315,0.3402,-0.38211,-0.79502,0.15971,1.60268,"[0.21168 0.26208 0.315   0.3654  0.36792 0.47124 0.52416 0.63252 0.78624
 0.84168]","[0.26208 0.28728 0.315   0.315   0.315   0.39564 0.42084 0.65772 0.78624
 0.84168]","[-1.45152 -1.12392 -0.6804  -0.6552  -0.62748 -0.57456 -0.57456 -0.52668
 -0.52668 -0.52416]","[-1.78668 -1.071   -0.68292 -0.68292 -0.59976 -0.49896 -0.49896 -0.49644
 -0.46872 -0.44604]",-1.45152,-1.78668
104,ADP,20070815,40,394398,1158146,-0.05912,-0.06035,0.34054,-0.05292,-0.07812,0.57637,0.56491,0.2646,0.2898,0.59735,0.80124,1.1179,1.52487,"[0.26208 0.2646  0.315   0.37044 0.42336 0.53172 0.73584 0.945   1.16172
 1.6884 ]","[0.21168 0.2898  0.31752 0.37044 0.37044 0.37044 0.68292 1.02312 1.13652
 1.74132]","[-1.21464 -1.10124 -1.00044 -0.79128 -0.73332 -0.68544 -0.52416 -0.47628
 -0.42084 -0.31752]","[-1.21464 -0.91728 -0.8694  -0.8694  -0.65772 -0.62748 -0.5292  -0.52416
 -0.47376 -0.39312]",-1.01337,-1.00018
105,ADP,20070816,41,412495,1211142,-0.15915,-0.15863,0.34058,-0.05544,-0.02772,1.02855,1.02544,0.69048,0.7182,0.05193,-0.03534,-0.12592,-0.06969,"[0.37548 0.53676 0.71316 0.76104 0.80136 1.19952 1.449   1.4994  1.63044
 2.29572]","[0.37296 0.65268 0.72324 0.74088 0.90972 1.09116 1.23228 1.42128 1.76904
 2.24028]","[-2.38896 -2.11932 -1.81692 -1.62288 -1.57248 -1.19952 -0.96264 -0.9198
 -0.91476 -0.9072 ]","[-2.4444  -2.06388 -1.86732 -1.84212 -1.57248 -1.22724 -0.98784 -0.93492
 -0.7812  -0.77364]",-1.02074,-1.09989
106,ADP,20070817,42,426995,1255500,0.11321,0.11191,0.3401,0.0,0.05292,1.41814,1.38996,0.48384,0.45612,3.31564,3.46383,15.90144,16.85965,"[0.48384 0.5922  0.64764 0.69804 0.75348 0.80892 0.91224 1.19448 1.35072
 7.4592 ]","[0.48384 0.50904 0.6426  0.67536 0.72324 0.72828 0.83412 1.08612 1.24236
 7.40628]","[-2.3436  -1.90512 -1.45656 -1.18188 -0.91476 -0.80136 -0.58968 -0.53676
 -0.48636 -0.44604]","[-2.29068 -1.82448 -1.40112 -1.0206  -0.88704 -0.67032 -0.6678  -0.53676
 -0.45612 -0.45612]",-1.90512,-1.82448
