,Ticker,Date,Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
41,SUNW,20070817,42,1442099,2170385,0.86436,0.8631,0.66444,0.86436,0.8631,5.5692,5.5629,5.5692,5.5629,0.0,0.0,-2.0,-2.0,[-4.70484  6.43356],[-4.6998  6.426 ],[-4.70484  6.43356],[-4.6998  6.426 ],-4.70484,-4.6998
42,SUNW,20070820,43,1467630,2217149,1.9908,1.85724,0.66194,1.9908,1.85724,0.67284,0.80388,0.67284,0.80388,-0.0,-0.0,-2.0,-2.0,[1.31796 2.66364],[1.05336 2.66112],[1.31796 2.66364],[1.05336 2.66112],0.0,0.0
43,SUNW,20070821,44,1487349,2253198,0.13356,0.2646,0.66011,0.13356,0.2646,1.17684,1.30788,1.17684,1.30788,0.0,0.0,-2.0,-2.0,[-1.04328  1.3104 ],[-1.04328  1.57248],[-1.04328  1.3104 ],[-1.04328  1.57248],-1.04328,-1.04328
44,SUNW,20070822,45,1516640,2285967,1.83834,1.83582,0.66346,1.83834,1.83582,2.35242,2.3499,2.35242,2.3499,-0.0,0.0,-2.0,-2.0,[-0.51408  4.19076],[-0.51408  4.18572],[-0.51408  4.19076],[-0.51408  4.18572],-0.51408,-0.51408
45,SUNW,20070823,46,1552824,2335712,0.25956,0.26208,0.66482,0.25956,0.26208,0.77616,1.29276,0.77616,1.29276,0.0,0.0,-2.0,-2.0,[-0.5166   1.03572],[-1.03068  1.55484],[-0.5166   1.03572],[-1.03068  1.55484],0.0,-0.0
46,SUNW,20070824,47,1592385,2430590,3.2004,3.07062,0.65514,3.2004,3.07062,0.10836,0.0189,0.10836,0.0189,-0.0,0.0,-2.0,-2.0,[3.09204 3.30876],[3.05172 3.08952],[3.09204 3.30876],[3.05172 3.08952],0.0,0.0
47,SUNW,20070827,48,1631946,2525468,0.02142,0.0189,0.6462,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
48,SUNW,20070828,49,1671507,2620346,0.02142,0.0189,0.6379,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
49,SUNW,20070829,50,1711068,2715224,0.02142,0.0189,0.63018,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
50,SUNW,20070830,51,1750629,2810102,0.02142,0.0189,0.62298,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
51,SUNW,20070831,52,1790190,2904980,0.02142,0.0189,0.61625,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
52,SUNW,20070904,53,1829751,2999858,0.02142,0.0189,0.60995,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
53,SUNW,20070905,54,1869312,3094736,0.02142,0.0189,0.60403,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
54,SUNW,20070906,55,1908873,3189614,0.02142,0.0189,0.59847,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
55,SUNW,20070907,56,1948434,3284492,0.02142,0.0189,0.59322,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
56,SUNW,20070910,57,1987995,3379370,0.02142,0.0189,0.58827,0.02142,0.0189,3.28734,3.03282,3.28734,3.03282,0.0,0.0,-2.0,-2.0,[-3.26592  3.30876],[-3.01392  3.05172],[-3.26592  3.30876],[-3.01392  3.05172],-0.0,-0.0
