,Ticker,Date,N,MillisFromMidn,Size,Price,Returns
0,TXT,20070620,0,34210000,23900,113.55999755859375,
1,TXT,20070621,0,34235000,7300,112.29000091552734,-0.01118
2,TXT,20070622,0,34323000,8200,113.05999755859375,0.00686
0,CTAS,20070620,0,34200000,6532,40.33000183105469,
1,CTAS,20070621,0,34200000,13245,40.0,-0.00818
2,CTAS,20070622,0,34200000,2669,40.0,0.0
0,PEG,20070620,0,34260000,10100,89.0,
1,PEG,20070621,0,34438000,13800,86.0,-0.03371
2,PEG,20070622,0,34329000,7700,86.87999725341797,0.01023
0,HAL,20070620,0,34217000,63200,36.25,
1,HAL,20070621,0,34210000,105300,35.40999984741211,-0.02317
2,HAL,20070622,0,34207000,100,35.95000076293945,0.01525
0,CZN,20070620,0,34217000,14400,15.279999732971191,
1,CZN,20070621,0,34212000,11500,15.09000015258789,-0.01243
2,CZN,20070622,0,34223000,20200,15.1899995803833,0.00663
0,XEL,20070620,0,34210000,26400,21.68000030517578,
1,XEL,20070621,0,34211000,500,21.299999237060547,-0.01753
2,XEL,20070622,0,34205000,30300,21.299999237060547,0.0
0,ROH,20070620,0,34234000,6200,54.290000915527344,
1,ROH,20070621,0,34219000,6300,53.61000061035156,-0.01253
2,ROH,20070622,0,34231000,16900,53.06999969482422,-0.01007
0,ETR,20070620,0,34320000,9600,109.69000244140625,
1,ETR,20070621,0,34308000,8000,106.11000061035156,-0.03264
2,ETR,20070622,0,34347000,11200,107.5199966430664,0.01329
0,AEP,20070620,0,34304000,17900,45.56999969482422,
1,AEP,20070621,0,34309000,13000,43.959999084472656,-0.03533
2,AEP,20070622,0,34455000,200,44.369998931884766,0.00933
0,FPL,20070620,0,34292000,18600,60.630001068115234,
1,FPL,20070621,0,34208000,15400,58.97999954223633,-0.02721
2,FPL,20070622,0,34227000,593000,59.0,0.00034
0,CEG,20070620,0,34336000,100,89.87000274658203,
1,CEG,20070621,0,34313000,10900,86.25,-0.04028
2,CEG,20070622,0,34492000,8800,87.25,0.01159
0,ASH,20070620,0,34307000,2500,63.22999954223633,
1,ASH,20070621,0,34309000,3400,62.45000076293945,-0.01234
2,ASH,20070622,0,34379000,1700,62.470001220703125,0.00032
0,PBI,20070620,0,34223000,7700,47.0,
1,PBI,20070621,0,34258000,6700,46.4900016784668,-0.01085
2,PBI,20070622,0,34363000,7800,46.369998931884766,-0.00258
0,AA,20070620,0,34335000,400,41.56999969482422,
1,AA,20070621,0,34220000,42400,40.29999923706055,-0.03055
2,AA,20070622,0,34213000,58900,40.18000030517578,-0.00298
0,NOC,20070620,0,34221000,14600,77.02999877929688,
1,NOC,20070621,0,34223000,6000,76.9000015258789,-0.00169
2,NOC,20070622,0,34213000,8500,76.95999908447266,0.00078
0,RTN,20070620,0,34294000,200,20.31999969482422,
1,RTN,20070621,0,35034000,1000,19.360000610351562,-0.04724
2,RTN,20070622,0,34296000,100,19.799999237060547,0.02273
0,AEE,20070620,0,34229000,5900,50.02000045776367,
1,AEE,20070621,0,34212000,8500,48.77000045776367,-0.02499
2,AEE,20070622,0,34235000,5500,48.79999923706055,0.00062
0,SGP,20070620,0,34213000,59200,30.690000534057617,
1,SGP,20070621,0,34295000,51500,29.700000762939453,-0.03226
2,SGP,20070622,0,34242000,91400,29.860000610351562,0.00539
0,CMA,20070620,0,34400000,7600,62.310001373291016,
1,CMA,20070621,0,34445000,7100,61.029998779296875,-0.02054
2,CMA,20070622,0,34349000,15100,60.619998931884766,-0.00672
0,TEG,20070620,0,34424000,6100,53.09000015258789,
1,TEG,20070621,0,34373000,100,51.560001373291016,-0.02882
2,TEG,20070622,0,34327000,2500,51.400001525878906,-0.0031
0,CPB,20070620,0,34230000,12200,39.09000015258789,
1,CPB,20070621,0,34261000,7800,38.5,-0.01509
2,CPB,20070622,0,34317000,6900,38.72999954223633,0.00597
0,WHR,20070620,0,34493000,2700,116.80000305175781,
1,WHR,20070621,0,34270000,6800,114.5,-0.01969
2,WHR,20070622,0,34258000,2700,114.7699966430664,0.00236
0,HRS,20070620,0,34307000,9600,55.58000183105469,
1,HRS,20070621,0,34356000,8300,55.04999923706055,-0.00954
2,HRS,20070622,0,34265000,3000,55.0,-0.00091
0,CA,20070620,0,34360000,100,25.75,
1,CA,20070621,0,34397000,38000,25.899999618530273,0.00583
2,CA,20070622,0,34360000,18700,26.020000457763672,0.00463
0,F,20070620,0,34248000,100,8.710000038146973,
1,F,20070621,0,34264000,236500,8.859999656677246,0.01722
2,F,20070622,0,34211000,299800,8.800000190734863,-0.00677
0,DOV,20070620,0,34339000,100,52.939998626708984,
1,DOV,20070621,0,34257000,8500,52.36000061035156,-0.01096
2,DOV,20070622,0,34210000,8700,52.2400016784668,-0.00229
0,MEE,20070620,0,34238000,11100,27.670000076293945,
1,MEE,20070621,0,34292000,8100,27.229999542236328,-0.0159
2,MEE,20070622,0,34281000,5000,27.549999237060547,0.01175
0,DIS,20070620,0,34211000,107100,34.7599983215332,
1,DIS,20070621,0,34266000,86600,34.130001068115234,-0.01812
2,DIS,20070622,0,34259000,66600,34.0099983215332,-0.00352
0,SNS,20070620,0,34252000,1200,15.359999656677246,
1,SNS,20070621,0,34268000,2400,15.350000381469727,-0.00065
2,SNS,20070622,0,34298000,800,15.25,-0.00651
0,LTR,20070620,0,34208000,17800,53.349998474121094,
1,LTR,20070621,0,34267000,13900,51.70000076293945,-0.03093
2,LTR,20070622,0,34261000,12700,52.40999984741211,0.01373
0,K,20070620,0,34225000,11700,52.0,
1,K,20070621,0,34214000,5400,51.619998931884766,-0.00731
2,K,20070622,0,34214000,4800,51.83000183105469,0.00407
0,VAR,20070620,0,34235000,10700,40.880001068115234,
1,VAR,20070621,0,34283000,4400,40.5099983215332,-0.00905
2,VAR,20070622,0,34228000,5600,40.29999923706055,-0.00518
0,R,20070620,0,34207000,5900,51.939998626708984,
1,R,20070621,0,34223000,3300,51.90999984741211,-0.00058
2,R,20070622,0,34259000,28300,53.47999954223633,0.03024
0,ABI,20070620,0,34337000,14400,28.770000457763672,
1,ABI,20070621,0,34410000,9700,29.149999618530273,0.01321
2,ABI,20070622,0,34352000,14500,29.75,0.02058
0,STR,20070620,0,34280000,17000,55.43000030517578,
1,STR,20070621,0,34313000,12100,54.220001220703125,-0.02183
2,STR,20070622,0,34355000,9500,55.34000015258789,0.02066
0,HPQ,20070620,0,34216000,100,46.0,
1,HPQ,20070621,0,34273000,139300,45.15999984741211,-0.01826
2,HPQ,20070622,0,34224000,100,45.5,0.00753
0,BAX,20070620,0,34230000,28300,57.970001220703125,
1,BAX,20070621,0,34369000,100,57.16999816894531,-0.0138
2,BAX,20070622,0,34211000,28100,56.5,-0.01172
0,DUK,20070620,0,34213000,83300,18.889999389648438,
1,DUK,20070621,0,34306000,100,18.610000610351562,-0.01482
2,DUK,20070622,0,34207000,94600,18.540000915527344,-0.00376
0,XRX,20070620,0,34240000,33000,19.299999237060547,
1,XRX,20070621,0,34203000,42500,19.06999969482422,-0.01192
2,XRX,20070622,0,34255000,51400,19.079999923706055,0.00052
0,PNW,20070620,0,34203000,17600,43.45000076293945,
1,PNW,20070621,0,34223000,17800,42.04999923706055,-0.03222
2,PNW,20070622,0,34323000,17100,41.810001373291016,-0.00571
0,APD,20070620,0,34258000,18200,82.18000030517578,
1,APD,20070621,0,34257000,8400,81.18000030517578,-0.01217
2,APD,20070622,0,34236000,22300,82.61000061035156,0.01762
0,MUR,20070620,0,34234000,5800,59.79999923706055,
1,MUR,20070621,0,34272000,100,58.66999816894531,-0.0189
2,MUR,20070622,0,34233000,1900,59.15999984741211,0.00835
0,VNO,20070620,0,34521000,5100,115.02999877929688,
1,VNO,20070621,0,34377000,9800,111.08000183105469,-0.03434
2,VNO,20070622,0,34629000,100,109.61000061035156,-0.01323
0,HES,20070620,0,34220000,24100,59.86000061035156,
1,HES,20070621,0,34211000,29600,58.7599983215332,-0.01838
2,HES,20070622,0,34218000,10800,60.130001068115234,0.02332
0,NBR,20070620,0,34308000,29700,35.599998474121094,
1,NBR,20070621,0,34214000,95600,34.95000076293945,-0.01826
2,NBR,20070622,0,34349000,39600,34.9900016784668,0.00114
0,COHU,20070620,0,34200000,1624,21.719999313354492,
1,COHU,20070621,0,34200000,597,21.1200008392334,-0.02762
2,COHU,20070622,0,34202000,6639,22.75,0.07718
0,OMC,20070620,0,34209000,9300,103.9800033569336,
1,OMC,20070621,0,40251000,100,50.75,-0.51193
2,OMC,20070622,0,34266000,36300,101.68000030517578,1.00355
0,FLS,20070620,0,34237000,1800,72.51000213623047,
1,FLS,20070621,0,34233000,1100,70.91999816894531,-0.02193
2,FLS,20070622,0,34227000,1800,71.4800033569336,0.0079
0,WFT,20070620,0,34351000,100,57.61000061035156,
1,WFT,20070621,0,34354000,38900,56.970001220703125,-0.01111
2,WFT,20070622,0,34359000,22900,57.84000015258789,0.01527
0,MAS,20070620,0,34247000,29700,29.389999389648438,
1,MAS,20070621,0,34205000,11600,28.579999923706055,-0.02756
2,MAS,20070622,0,34210000,10600,28.700000762939453,0.0042
0,MXM,20070620,0,34210000,10600,28.700000762939453,
1,MXM,20070621,0,56745000,200,28.0,-0.02439
2,MXM,20070622,0,47905000,900,28.0,0.0
0,FITB,20070620,0,34200000,13094,43.18000030517578,
1,FITB,20070621,0,34200000,7795,42.369998931884766,-0.01876
2,FITB,20070622,0,34201000,10459,42.119998931884766,-0.0059
0,NUE,20070620,0,34334000,100,63.31999969482422,
